,type,question
0,Array,15.3Sum.py
1,Array,252. Meeting Rooms.py
2,Array,283. Move Zeroes.py
3,Array,378. Kth Smallest Element in a Sorted Matrix.py
4,Array,442. Find All Duplicates in an Array.py
5,Array,463. Island Perimeter.py
6,Array,937. Reorder Data In Log Files.py
7,Backtracking,22. Generate Parentheses.py
8,Backtracking,491. Increasing Subsequences.py
9,Backtracking,698. Partition to K Equal Sum Subsets.py
10,Backtracking,79. Word Search.py
11,Backtracking,Backtracking.md
12,BFS,286. Walls and Gates.py
13,BFS,317. Shortest Distance from All Buildings.py
14,BFS,490. The Maze.py
15,BFS,542. 01 Matrix.py
16,BFS,994. Rotting Oranges.py
17,Binary Search,278. First Bad Verison.py
18,Binary Search,374. Guess Number Higher or Lower.py
19,Binary Search,69. Sqrt.py
20,Binary Search,875. Koko Eating Bananas.py
21,Binary Search,BinarySearch.py
22,Binary Search,huahuaBinarySearch.md
23,DFS,130. Surrounded Regions.py
24,DFS,1448. Count Good Nodes in Binary Tree.py
25,DFS,200. Number of Islands.cpp
26,DFS,200. Number of Islands.py
27,DFS,212. Word Search II.py
28,DFS,417. Pacific Altantic WaterFlow.py
29,DFS,463. Island Perimeter.py
30,DFS,529. Minesweeper.py
31,DFS,694. Number of Distinct Islands.py
32,DFS,695. Max Area of Island.py
33,DFS,695. MaxAreaofIsland
34,DFS,733. Flood Fill.py
35,DFS,79. Word Search.py
36,DFS,summary.md
37,DP,11. Container With Most Water.md
38,DP,1137. Tribonacci Number.py
39,DP,1143. Longest Common Sequence.py
40,DP,120. Triangle.py
41,DP,121. Best Time To Buy And Sell Stock.py
42,DP,123. Best Time to Buy and Sell Stock III.py
43,DP,128. Longest Consecutive Sequence.py
44,DP,152. Maximum Product Subarray.py
45,DP,1524. Number of Sub-arrays With Odd Sum.py
46,DP,174. Dungeon.py
47,DP,174. DungeonGame.py
48,DP,198. House Robber.py
49,DP,231. House Robber II.py
50,DP,243. Shortest Word Distance.py
51,DP,279. Perfect Squares.py
52,DP,300. Longest Increasing Subsequence.py
53,DP,309. Best Time to Buy and Sell Stock with Cooldown.py
54,DP,413. Arithmetic Slices.py
55,DP,416. Partition Equal Subset Sum.py
56,DP,42. Trapping Rain Water.py
57,DP,45. Jump Game II.py
58,DP,455. Assign Cookies.py
59,DP,516. Longest Palindroimic Subsequence.py
60,DP,53. Maximum Subarray.py
61,DP,55. Jump Game.py
62,DP,64. Minimum Path Sum.py
63,DP,70. Climbing Stairs.py
64,DP,740. Delete and Earn.py
65,DP,764. Min Cost Climbing Stairs.py
66,DP,Product Subarry .py
67,Expand Around Center,5.Longest Palindromic Substring.py
68,Hashtable,1. Two Sum.py
69,Hashtable,220. Contains Duplicate III.py
70,Hashtable,242. Valid Anagram.py
71,Hashtable,347. Top K Frequent Elements.py
72,Hashtable,409. Longest Palindrome.py
73,Hashtable,49. Group Anagrams.py
74,Linked List,141. Linked List Cycle.py
75,Linked List,19. Remove Nth Node From End of List.py
76,Linked List,21. Merge Two Sorted Lists.py
77,Linked List,24. Swap Nodes in Pairs.java
78,Linked List,725. Split Linked List in Parts.py
79,Linked List,876. Middle of the Linked List.py
80,Numbers,1134. Armstrong Number.py
81,Numbers,9. Palindrome Number.py
82,Numbers,perfectNum.py
83,Permutation and Combination,266. Palindrom Permutation.py
84,Permutation and Combination,39. Combination Sum Example.png
85,Permutation and Combination,39. Combination Sum.py
86,Permutation and Combination,46. Permutations.py
87,Permutation and Combination,77. Combinations.py
88,Permutation and Combination,78. Subsets.py
89,Permutation and Combination,784. Letter Case Permutation.py
90,Pre+Hashtable,14. Longest Common Prefix.py
91,Pre+Hashtable,560. Subarray Sum Equals K.py
92,Set,217. Contains Duplicate.py
93,Set,219. Contains Duplicate II.py
94,Sliding Window,159. Longest Substring with At Most Two Distinct Characters.py
95,Sliding Window,209. Minimum Size Subarray Sum.py
96,Sliding Window,253. Meeting Romes II.py
97,Sliding Window,3. Longest Substring Without Repeating Characters.py
98,Sliding Window,325. Maximum Size Subarray Sum Equals k.py
99,Sliding Window,424. Longest Repeating Character Replacement.py
100,Sliding Window,713. Subarray Product Less Than k.py
101,Stack,1087. Brace Expansion.py
102,Stack,20. Valid Parantheses.py
103,Stack,946. Validate Stack Sequences.py
104,Stack,decodingString.py
105,Stack,DepthOfBrackets.py
106,String,1249. Minimum Remove to Make Valid Parentheses.py
107,String,165. Compare Version Numbers.py
108,String,459. Repeated Substring Pattern.py
109,String,557. Reverse Words in a String III.py
110,String,567. Permutation in String.py
