date,type,question
2021-10-19,Pre+Hashtable,14. Longest Common Prefix.py
2021-10-19,String,647. Palindromic Substrings.py
2021-10-19,DP,53. Maximum Subarray.py
2021-10-20,Set,219. Contains Duplicate II.py
2021-10-20,Backtracking,22. Generate Parentheses.py
2021-10-20,Numbers,9. Palindrome Number.py
2021-10-21,Stack,20. Valid Parantheses.py
2021-10-21,Binary Search,278. First Bad Verison.py
2021-10-21,Backtracking,79. Word Search.py
2021-10-21,BFS,542. 01 Matrix.py
2021-10-21,DP,198. House Robber.py
2021-10-21,Linked List,141. Linked List Cycle.py
2021-10-21,Stack,946. Validate Stack Sequences.py
2021-10-21,BFS,317. Shortest Distance from All Buildings.py
